name	relationship	relationship_value	continent
Institute for Technology and Society of Rio de Janeiro	Open leaders	3	South America
Institute of Museum and Library Services	Open leaders	3	North America
Institute of Museum and Library Services	Funders	5	North America
Instituto DEMOS	None	1	North America
Integrated Arts	Grantees	5
InterMine	Mozfest Facilitator	3	North America
International Federation of Library Associations and Institutions	None	1	Europe
International Freedom of Expression Exchange	None	1	North America
International Media Support (IMS)	None	1	Europe
International Research & Exchanges Board	Grantees	5	North America
International Telecommunication Union	None	1	Europe
Internet & Jurisdiction Policy Network	None	1	Europe
Internet Archive	Mozfest Facilitator	3	North America
internet education foundation	None	1	North America
Internet Engineering Task Force	None	1	North America
Internet Freedom Festival (IFF)	OWF Host Org Applicants	2	Europe
Internet Infrastructure Coalition	OWF Host Org Applicants	2	North America
Internet Policy Review (HIIG)	IHR Contributors	4	Europe
Internet Society	None	1	North America
INTERNETLAB	OWF Host Org Applicants	2	South America
Internews	None	1	North America
Intervozes	None	1	South America
Invisible Flock	Mozfest Facilitator	3	Europe
Iridescent	Mozfest Facilitator	3	North America
iRights.Lab	None	1	Europe
Japan Computer Access for Empowerment (JCAFE)	None	1	Asia
Jaume Bofill Foundation	Open leaders	3	Europe
JCA-NET	None	1	Asia
Jimmy Wales Foundation	None	1	Europe
John D. and Catherine T. MacArthur Foundation	Funders	5	North America
John F. Kennedy School of Government	Open leaders	3	North America
John S. and James L. Knight Foundation	Funders	5	North America
Johns Hopkins Sibley Innovation Hub	Mozfest Facilitator	3	North America
Journal of Open Hardware	Mozfest Facilitator	3
Journal of Open Hardware	Open leaders	3
JSLadies	Open leaders	3
KC Digital Drive	Mozfest Facilitator	3	North America
KC Social Innovation Center	Grantees	5	North America
Kea	Grantees	5	North America
Kéfir	None	1	North America
Kennisland	None	1	Europe
Kenya ICT Action Network	OWF Host Org Applicants	2	Africa
Kenyan Open Data Initiative	Open leaders	3	Africa
Kirklees Library	Mozfest Facilitator	3	Europe
Korean Progressive Network Jinbonet	None	1	Asia
La Quadrature du Net	None	1	Europe
LaborNet	None	1	North America
Lafayette Science Museum Foundation	Grantees	5	North America
LakeHub	Mozfest Facilitator	3	Africa
LakeHub	Open leaders	3	Africa
Lane Arts Council	Grantees	5	North America
Lane Education Service District	Grantees	5	North America
Latinitas Inc.	Grantees	5	North America
LEAP Encryption Access Project	Grantees	5
Learn All the Time Network	Mozfest Facilitator	3	North America
Leona M. and Harry B. Helmsley Charitable Trust	Funders	5	North America
libav/rust-av	Grantees	5
libjpeg-turbo	Grantees	5
Libraries.io	IHR Contributors	4
