relationship	name	website	twitter	city	country	continent	lat	lon	relationship_value
None	Commission on Science and Technology for Development (CSTD)	http://unctad.org/en/Pages/CSTD.aspx	unctad	Geneva	Switzerland	Europe	46.2	6.15	1
Grantees	Common Cause Educational Foundation	http://www.commoncause.org/donate/common-cause-education-fund/	CommonCause	Washington, D.C.	United States of America	North America	38.895	-77.03666667	5
None	Common Sense Media	https://www.commonsensemedia.org/	commonsense	San Francisco	United States of America	North America	37.766667	-122.433333	1
Mozfest Facilitator	Communia Association	https://www.communia-association.org/	communia_eu	Brussels	Belgium	Europe	50.8467	4.3547	4
None	Computer Aid International	http://www.computeraid.org	Computer_Aid	London	United Kingdom	Europe	51.50722222	-0.1275	1
Open leaders	Computer Science Education, NYC Dept. of Education	http://schools.nyc.gov/Academics/ComputerScience/default.htm	nycschools	New York City	United States of America	North America	40.67	-73.94	4
Mozfest Facilitator	Computers Are Free For Everyone	http://www.caffebd.org/	caffebd	Sylhet Royals					4
Open leaders	Conservation International	http://www.conservation.org	conservationorg	Arlington County	United States of America	North America	38.88027778	-77.10833333	4
None	consumer reports	https://web.consumerreports.org/	consumerreports	New York City	United States of America	North America	40.67	-73.94	1
Open leaders	Consumers Union	http://consumersunion.org/	ConsumersUnion	Yonkers	United States of America	North America	40.94138889	-73.86444444	4
None	Cooperativa Sulá Batsú	http://www.sulabatsu.com	SulaBatsu	San José	Costa Rica	North America	9.933333333	-84.08333333	1
Mozfest Facilitator	Corporación Andina de Fomento (CAF)	http://www.caf.com	AgendaCAF	Caracas	Venezuela	South America	10.5	-66.93333333	4
Mozfest Facilitator	Covenant University Bioinformatics Research Group	http://cubre.covenantuniversity.edu.ng/	cuhebron	Ogun State College of Health Technology	Nigeria	Africa			4
Mozfest Facilitator	Crafts Council	http://www.craftscouncil.org.uk/	CraftsCouncilUK	London	United Kingdom	Europe	51.50722222	-0.1275	4
Funders	Craig Newmark Philanthropies	https://craignewmarkphilanthropies.org/	craignewmark	San Francisco	United States of America	North America	37.766667	-122.433333	5
Grantees	Creative Commons	https://creativecommons.org/	creativecommons	Mountain View	United States of America	North America	37.39277778	-122.0419444	5
Mozfest Speakers	Creative Commons	https://creativecommons.org/	creativecommons	Mountain View	United States of America	North America	37.39277778	-122.0419444	4
None	Creative Commons	https://creativecommons.org/	creativecommons	Mountain View	United States of America	North America	37.39277778	-122.0419444	1
None	credibility coalition	https://credibilitycoalition.org/	credcoalition	San Francisco	United States of America	North America	37.766667	-122.433333	1
Mozfest Facilitator	Crowd2Map Tanzania	https://crowd2map.wordpress.com/	Crowd2Map						4
Open leaders	Crowd2Map Tanzania	https://crowd2map.wordpress.com/	Crowd2Map						4
Mozfest Speakers	CryptoHarlem	https://www.meetup.com/New-York-Cryptoparty-Network/events/?_cookie-check=2D3d8kXBz7VQV4mU	cryptoharlem	New York City	United States of America	North America	40.67	-73.94	4
None	CryptoHarlem	https://www.meetup.com/New-York-Cryptoparty-Network/events/?_cookie-check=2D3d8kXBz7VQV4mU	cryptoharlem	New York City	United States of America	North America	40.67	-73.94	1
None	cryptoparty, world	https://www.cryptoparty.in/	cryptoparty						1
Open leaders	Cryptorave	https://cryptorave.org/en/	cryptoravebr	São Paulo	Brazil	South America	-23.55039444	-46.63394722	4
Mozfest Facilitator	CTuning foundation	http://ctuning.org/	c_tuning	Paris	France	Europe	48.85657778	2.351827778	4
Grantees	CUNY School of Professional Studies Foundation	https://sps.cuny.edu/about/dean/cuny-sps-foundation	cunysps	New York City	United States of America	North America	40.67	-73.94	5
None	CyFy	http://www.orfonline.org/cyfy/	orfonline	New Delhi	India	Asia	28.7	77.2	1
Open leaders	Dalai Lama Center for Ethics and Transformative Values at MIT	http://thecenter.mit.edu/	thecenteratmit	Cambridge	United States of America	North America	42.375	-71.10611111	4
None	data & society	https://datasociety.net/	datasociety	New York City	United States of America	North America	40.67	-73.94	1
OWF Host Org Applicants	data & society	https://datasociety.net/	datasociety	New York City	United States of America	North America	40.67	-73.94	3
Grantees	David Thibodaux STEM Magnet Academy	https://lpssonline.com/site4337.php	LafParishSchool	LaFayette	United States of America	North America	32.898572	-85.400784	5
None	DefCon	https://www.defcon.org/	defcon	Las Vegas	United States of America	North America	36.16916667	-115.1447222	1
OWF Host Org Applicants	Dejusticia (Center for the Study of Law, Justice and Society/Centro de Estudios de Derecho, Justicia y Sociedad)	https://www.dejusticia.org/	dejusticia	Bogotá	Colombia	South America	4.598888889	-74.08083333	3
Grantees	Demand Progress	http://demandprogress.org	demandprogress	Washington, D.C.	United States of America	North America	38.895	-77.03666667	5
Mozfest Facilitator	Demand Progress	http://demandprogress.org	demandprogress	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Funders	Democracy Fund	https://datasociety.net/	datasociety	New York City	United States of America	North America	40.67	-73.94	5
Grantees	Derechos Digitales	https://www.derechosdigitales.org/	derechosdigital	Santiago	Chile	South America	-33.45	-70.66666667	5
