relationship	name	website	twitter	city	country	continent	lat	lon	relationship_value
Open leaders	The Trust for Public Land	http://www.tpl.org	TPL_org	San Francisco	United States of America	North America	37.766667	-122.433333	4
Grantees	The Urban Farming Guys	theurbanfarmingguys.com	UrbanFarmingGuy	Kansas City	United States of America	North America	39.05	-94.58333333	5
None	The Womanity Foundation	http://womanity.org/	forwomanity	Geneva	Switzerland	Europe	46.2	6.15	1
Grantees	Theatre Action Project	https://creativeaction.org/tag/theatre-action-project		Austin	United States of America	North America	30.3	-97.73333333	5
None	tibet action institutue	https://tibetaction.net	tibetaction	Lhasa	People's Republic of China	Asia	29.65	91.1	1
IHR Contributors	Tidelift	https://tidelift.com	tidelift	Boston	United States of America	North America	42.35777778	-71.06166667	4
Mozfest Facilitator	Tirami Ltd	www.tirami.co.uk		Aberdeen	United Kingdom	Europe	57.15	-2.1	4
Grantees	Toledo-Lucas County Public Library	http://www.toledolibrary.org/	ToledoLibrary	Toledo	United States of America	North America	41.66666667	-83.58333333	5
Grantees	Tribeca Film Institute	https://tribecafilminstitute.org/	TribecaFilmIns	New York City	United States of America	North America	40.67	-73.94	5
Grantees	Trinity Animation Inc.	trinityanimation.com	TrinityANIM	Missouri City	United States of America	North America	39.23806	-94.30111	5
Grantees	Trustees of Princeton University	https://www.princeton.edu/vpsec/trustees/	princeton	Newark	United States of America	North America	40.73527778	-74.185	5
None	Turkey Blocks	https://turkeyblocks.org/	TurkeyBlocks		Turkey	Asia			1
Open leaders	Ubiquity Press	https://www.ubiquitypress.com/	ubiquitypress	London	United Kingdom	Europe	51.50722222	-0.1275	4
Mozfest Facilitator	UK Youth	https://www.ukyouth.org	UKYouth	London	United Kingdom	Europe	51.50722222	-0.1275	4
Open leaders	United Nations Office for Outer Space Affairs	http://www.unoosa.org/	UNOOSA	Vienna	Austria	Europe	48.20833	16.373064	4
Grantees	University of Dundee, Open IoT Studio	https://wiki.mozilla.org/Open_IoT	openiotstudio	Dundee	United Kingdom	Europe	56.464	-2.97	5
Mozfest Facilitator	University of Nottingham, Horizon Digital Economy Research institute	https://www.horizon.ac.uk	HorizonDER	Nottingham	United Kingdom	Europe	52.955	-1.149166667	4
None	Unverzagt von Have	unverzagtvonhave.com	uvhlaw	Hamburg	Germany	Europe	53.55	10	1
Grantees	Urban Arts	https://urbanartstoronto.org/	urbanartsto	Toronto	Canada	North America	43.7	-79.4	5
None	Urgent Action Fund for Women's Human Rights	https://urgentactionfund.org	UrgentAct	Oakland	United States of America	North America	37.8	-122.25	1
None	US State Department - Internet Freedom	https://www.state.gov/j/drl/internetfreedom/index.htm	StateDept	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Grantees	Ushahidi	http://www.ushahidi.com/	ushahidi	Nairobi	Kenya	Africa	-1.283333333	36.81666667	5
Grantees	ViatoR VR LLC	viatorvr.com	ViatoR_vr	Chattanooga	United States of America	North America	35.04555556	-85.26722222	5
Grantees	Vibe Arts	https://vibearts.ca	VIBEArtsTO	Toronto	Canada	North America	43.7	-79.4	5
Grantees	Visions of Science Network for Learning	http://www.vosnl.org/	visionsofsci	Toronto	Canada	North America	43.7	-79.4	5
Mozfest Facilitator	Visual Thinkery	https://visualthinkery.com/	visualthinkery	London	United Kingdom	Europe	51.50722222	-0.1275	4
OWF Host Org Applicants	Visualizing Impact	https://visualizingimpact.org/	ImpactVI	Toronto	Canada	North America	43.7	-79.4	3
None	Visualizing Impact	https://visualizingimpact.org/	ImpactVI	Toronto	Canada	North America	43.7	-79.4	1
None	Voices for Interactive Choice & Empowerment	http://www.voicebd.org		Dhaka	Bangladesh	Asia	23.7	90.36666667	1
Mozfest Facilitator	Vubble	https://www.vubblepop.com/	vubblePOP	Toronto	Canada	North America	43.7	-79.4	4
None	Wallace Global Fund	wgf.org/	WallaceGlobal	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Mozfest Facilitator	We Are Open Co-op	weareopen.coop/	weareopencoop						4
None	Web Networks	http://www.web.net	web_networks	Toronto	Canada	North America	43.7	-79.4	1
Grantees	webpack	https://webpack.js.org/	webpack						5
Open leaders	WGBH	http://www.wgbh.org/	wgbh	Boston	United States of America	North America	42.35777778	-71.06166667	4
Mozfest Facilitator	White Market Podcast	https://www.whitemarketpodcast.co.uk/	whitemarketpodcast	Lisbon	Portugal	Europe	38.71666667	-9.166666667	4
Open leaders	White Market Podcast	https://www.whitemarketpodcast.co.uk/	whitemarketpodcast	Lisbon	Portugal	Europe	38.71666667	-9.166666667	4
Mozfest Speakers	Whose Knowledge	https://whoseknowledge.org/	WhoseKnowledge	San Francisco	United States of America	North America	37.766667	-122.433333	4
Mozfest Facilitator	Wikimedia Foundation	https://wikimediafoundation.org/	Wikimedia	San Francisco	United States of America	North America	37.766667	-122.433333	4
Mozfest Speakers	Wikimedia Foundation	https://wikimediafoundation.org/	Wikimedia	San Francisco	United States of America	North America	37.766667	-122.433333	4
None	Wikimedia Foundation	https://wikimediafoundation.org/	Wikimedia	San Francisco	United States of America	North America	37.766667	-122.433333	1
Open leaders	Wikimedia Foundation	https://wikimediafoundation.org/	Wikimedia	San Francisco	United States of America	North America	37.766667	-122.433333	4
OWF Host Org Applicants	Wikimedia Foundation	https://wikimediafoundation.org/	Wikimedia	San Francisco	United States of America	North America	37.766667	-122.433333	3
None	Wikimedia France	https://www.wikimedia.fr/	Wikimedia_Fr	Paris	France	Europe	48.85657778	2.351827778	1
None	Wikimedia Germany	https://wikimedia.de/	WikimediaDE	Berlin	Germany	Europe	52.51666667	13.38333333	1
Open leaders	WikiPathways	https://www.wikipathways.org/	WikiPathways	San Francisco	United States of America	North America	37.766667	-122.433333	4
Open leaders	Wild Tree Tech	http://www.wildtreetech.com/	wildtreetech	Zürich	Switzerland	Europe	47.37861111	8.54	4
Grantees	Wildlife Conservation Society	https://www.wcs.org/	thewcs	New York City	United States of America	North America	40.67	-73.94	5
Grantees	Willie Mae Rock Camp for Girls	https://williemaerockcamp.org/	williemaerock	New York City	United States of America	North America	40.67	-73.94	5
Grantees	Willoughby-Eastlake Public Library	https://we247.org/	WELibrary	Toledo	United States of America	North America	41.66666667	-83.58333333	5
None	WITNESS	https://witness.org/	witnessorg	New York City	United States of America	North America	40.67	-73.94	1
None	Women of Uganda Network	http://www.wougnet.org/home/	wougnet	Kampala	Uganda	Africa	0.3136111111	32.58111111	1
None	Women'sNet	http://www.womensnet.org.za/	WomensNet_ZA	Johannesburg	South Africa	Africa	-26.145	28.05027778	1
None	World Economic Forum (WEF) Internet for All	https://www.weforum.org/projects/internet-for-all	wef	Geneva	Switzerland	Europe	46.2	6.15	1
None	World Intellectual Property Organization	http://www.wipo.int/	WIPO	Geneva	Switzerland	Europe	46.2	6.15	1
None	World Wide Web Consortium	https://www.w3.org/	w3c	Cambridge	United States of America	North America	42.375	-71.10611111	1
IHR Contributors	World Wide Web Foundation	https://webfoundation.org/	webfoundation	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Mozfest Facilitator	World Wide Web Foundation	https://webfoundation.org/	webfoundation	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Mozfest Speakers	World Wide Web Foundation	https://webfoundation.org/	webfoundation	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
None	World Wide Web Foundation	https://webfoundation.org/	webfoundation	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Open leaders	WorldBrain.io	https://worldbrain.io/	worldbrain	Berlin	Germany	Europe	52.51666667	13.38333333	4
Grantees	Youth Empowering Parents	yepeducation.com/	YEPeducation	Toronto	Canada	North America	43.7	-79.4	5
Grantees	YWCA Toronto	https://www.ywcatoronto.org/	YWCAToronto	Toronto	Canada	North America	43.7	-79.4	5
None	Zenzeleni Networks	http://zenzeleni.net/	ZenzeleniNet	Ngqeleni	South Africa	Africa	-31.67	29.028	1
